signal_squared,p,repetition,risk
2,220,1,15.373694283890494
2,220,2,8.222870572187869
2,220,3,8.0670356171924809
2,220,4,7.9290651662909495
2,220,5,11.655524165166568
2,220,6,9.1118337863781012
2,220,7,16.464463823198262
2,220,8,8.1473127791118909
2,220,9,8.3254045807695238
2,220,10,14.462934389709586
2,220,11,14.355197528372905
2,220,12,12.996907519841471
2,220,13,9.862473779675728
2,220,14,14.215724774712781
2,220,15,11.453281849720774
2,220,16,4.9746054971281941
2,220,17,11.26928242910776
2,220,18,10.23937385939694
2,220,19,12.794427727727598
2,220,20,6.8535312795253249
2,240,1,4.2428896603291566
2,240,2,4.3163663795107441
2,240,3,6.2692651720599697
2,240,4,4.157527820547176
2,240,5,4.0515627541026911
2,240,6,4.5395610137893634
2,240,7,5.7600054463346231
2,240,8,5.2779679606478531
2,240,9,5.4104024405353366
2,240,10,9.2458510247687951
2,240,11,6.185067078827104
2,240,12,6.2504251084151363
2,240,13,7.464735081023794
2,240,14,3.787114462579678
2,240,15,4.946334733189949
2,240,16,5.1678726318677191
2,240,17,3.4093065528223043
2,240,18,5.7028241878059944
2,240,19,4.8383130740236044
2,240,20,4.03696192443548
2,260,1,3.2734665141862025
2,260,2,4.4692488885485915
2,260,3,2.5544799518872776
2,260,4,4.4469741925773452
2,260,5,4.6716447862308303
2,260,6,4.1292359312248736
2,260,7,3.9940091144419201
2,260,8,3.8657323917901483
2,260,9,3.9309806273182883
2,260,10,4.8992981946758825
2,260,11,2.7279112493767439
2,260,12,3.2060356696700403
2,260,13,2.7810474174852104
2,260,14,5.049192936218259
2,260,15,3.3579582841096443
2,260,16,4.1072740622874999
2,260,17,3.6888514248021149
2,260,18,3.2227366387868406
2,260,19,3.4915696601952493
2,260,20,4.0305580401464534
2,300,1,2.6508732320165138
2,300,2,2.8704041848483519
2,300,3,2.3244822482411163
2,300,4,2.6648474698391578
2,300,5,2.0845894397660616
2,300,6,2.5630672230014522
2,300,7,2.0671164572907323
2,300,8,2.8644819751814539
2,300,9,2.5556576111452771
2,300,10,3.0331116438579464
2,300,11,2.637834417982901
2,300,12,2.6252094753206956
2,300,13,2.2622830213643796
2,300,14,3.2036362766155988
2,300,15,2.5703264188918848
2,300,16,2.8019614314648855
2,300,17,2.9431324087257518
2,300,18,3.1787463562806133
2,300,19,2.2439342834902964
2,300,20,2.2965311864660998
2,400,1,2.1635038299182017
2,400,2,1.887621118203183
2,400,3,1.9384334968083536
2,400,4,2.0893360289462808
2,400,5,1.5876448903926785
2,400,6,2.1857948293015772
2,400,7,1.7436225448429268
2,400,8,2.134960429189543
2,400,9,1.8218006770569768
2,400,10,1.777264049841778
2,400,11,2.2602045879338557
2,400,12,2.0398640133153778
2,400,13,1.9226236726837564
2,400,14,2.113210013046444
2,400,15,2.1084409028540194
2,400,16,1.6949254600468209
2,400,17,1.7931701000637819
2,400,18,2.0113692302673027
2,400,19,2.158529535272498
2,400,20,1.8331581683641196
2,600,1,1.5632463310157445
2,600,2,1.6506374444306482
2,600,3,1.8856285855169326
2,600,4,1.9745461281506396
2,600,5,1.7965676995608193
2,600,6,1.7955335267824954
2,600,7,1.8164922809577535
2,600,8,1.733421006739077
2,600,9,1.8258462819590431
2,600,10,1.7124584560353491
2,600,11,1.9173921812662889
2,600,12,1.6907214920024389
2,600,13,1.7702476120352832
2,600,14,1.7364554988728111
2,600,15,1.8294504335683777
2,600,16,2.092079079963975
2,600,17,1.6783061689176966
2,600,18,1.9525739453795614
2,600,19,1.9607880634200758
2,600,20,1.7935125103633383
1,20,1,0.069695918562891576
1,20,2,0.094713995245919877
1,20,3,0.07267455170302968
1,20,4,0.10225262603618494
1,20,5,0.079432210566419595
1,20,6,0.11678466208645633
1,20,7,0.12512906868402718
1,20,8,0.10329347822543536
1,20,9,0.12256480966918351
1,20,10,0.081949542314252402
1,20,11,0.12053415313112285
1,20,12,0.13595611271295155
1,20,13,0.077905786082957354
1,20,14,0.068379746822782042
1,20,15,0.18541119724846794
1,20,16,0.1025867199158578
1,20,17,0.13464233262182118
1,20,18,0.10142703652965754
1,20,19,0.076758679065637353
1,20,20,0.15052331713760914
1,40,1,0.18424286452295083
1,40,2,0.16360646182427643
1,40,3,0.26557206997777805
1,40,4,0.23245105023483539
1,40,5,0.3035807563263106
1,40,6,0.26597056389091633
1,40,7,0.22300391013318738
1,40,8,0.26665944031664368
1,40,9,0.23314993518506433
1,40,10,0.19812578859623978
1,40,11,0.25302649454599085
1,40,12,0.23533295418797717
1,40,13,0.34176991509696952
1,40,14,0.21619900712423329
1,40,15,0.26455197055930885
1,40,16,0.16567505160473844
1,40,17,0.35823140790720648
1,40,18,0.32726174566072641
1,40,19,0.26885673307687352
1,40,20,0.2594460120990052
1,60,1,0.47585607407917552
1,60,2,0.3134490082588457
1,60,3,0.3607393190664509
1,60,4,0.52619198487463259
1,60,5,0.45403222759181222
1,60,6,0.38496666047165762
1,60,7,0.45196847576564869
1,60,8,0.45471550558835111
1,60,9,0.5630950004610672
1,60,10,0.41832746278918037
1,60,11,0.44963557113564762
1,60,12,0.49309102314003056
1,60,13,0.30969512513411873
1,60,14,0.28322785381717364
1,60,15,0.37347105873552972
1,60,16,0.37466363043217243
1,60,17,0.2921423354488818
1,60,18,0.67399793869069902
1,60,19,0.5634868404013369
1,60,20,0.38262778685945736
1,80,1,0.78013210970922475
1,80,2,0.81870609655872884
1,80,3,0.60196363788225105
1,80,4,0.77318176302952035
1,80,5,0.80683691846455297
1,80,6,0.71017677298853343
1,80,7,0.63647166729905191
1,80,8,0.85599952283718539
1,80,9,0.79982379419818583
1,80,10,0.66471935362500456
1,80,11,0.76059658946533315
1,80,12,0.980821173103816
1,80,13,0.66968998979055527
1,80,14,0.97517824012059429
1,80,15,0.66843967594417319
1,80,16,0.47218727400374982
1,80,17,0.6708167639949898
1,80,18,0.63980042878574561
1,80,19,0.82097514599366506
1,80,20,0.40091632104481945
1,100,1,0.91235118484594058
1,100,2,1.1048483615664131
1,100,3,1.445528797785153
1,100,4,0.92816243013122934
1,100,5,0.93287811518423336
1,100,6,1.106049306474034
1,100,7,0.82841404562542109
1,100,8,1.083550380899611
1,100,9,1.005018083990189
1,100,10,0.92283464989514208
1,100,11,1.0721330803074651
1,100,12,0.86237370910527877
1,100,13,0.98208896513509225
1,100,14,0.89390107124815721
1,100,15,1.1545509915441827
1,100,16,0.95897191964676809
1,100,17,0.90500325476303622
1,100,18,0.80251909566186741
1,100,19,0.57148931525108004
1,100,20,0.93671752215078186
1,120,1,1.5221200403522668
1,120,2,1.7157066652153439
1,120,3,1.5236794562161302
1,120,4,1.3121939631168991
1,120,5,1.5786083112847005
1,120,6,0.98547872195961816
1,120,7,1.3468048698685826
1,120,8,1.3889077614367658
1,120,9,2.0878687641550373
1,120,10,1.6619090195014927
1,120,11,1.1787057810077886
1,120,12,1.6882483397924262
1,120,13,1.1343903951101806
1,120,14,1.3681751712616068
1,120,15,1.6851108417299578
1,120,16,1.2891802789413105
1,120,17,1.9110343834317978
1,120,18,1.856413825685062
1,120,19,1.0286725800087355
1,120,20,1.7565631881774892
1,140,1,2.7812225611652073
1,140,2,2.1970455575423755
1,140,3,1.8415357752365518
1,140,4,2.011031541077037
1,140,5,2.3208758102626104
1,140,6,1.87677722739237
1,140,7,2.613735333726948
1,140,8,2.5044761696175599
1,140,9,2.7699762135412769
1,140,10,1.7382687829255736
1,140,11,1.6759231856715706
1,140,12,2.5640109231390174
1,140,13,2.6374045197105125
1,140,14,2.5093344513773146
1,140,15,2.0907372894942378
1,140,16,1.8798474920842234
1,140,17,1.9892568619163804
1,140,18,1.7386469278307732
1,140,19,2.1711821413007146
1,140,20,2.3262030530345337
1,160,1,4.3795314031110051
1,160,2,5.4365837259588572
1,160,3,2.8656511414526631
1,160,4,4.7140104445810325
1,160,5,3.4889380630336291
1,160,6,3.1095774574580166
1,160,7,2.9624624359361689
1,160,8,4.4130846150032434
1,160,9,6.6202990748895481
1,160,10,4.9114062969484751
1,160,11,3.9494182032623995
1,160,12,3.3400719431457917
1,160,13,3.098552017575559
1,160,14,3.4979437060164442
1,160,15,3.3051092972448126
1,160,16,3.5879170615841645
1,160,17,3.8318696696683774
1,160,18,3.6205485521460297
1,160,19,3.1349620816953738
1,160,20,4.3381042985229099
1,180,1,14.28171189447751
1,180,2,9.931416073114061
1,180,3,7.8299143465524121
1,180,4,13.941174012199463
1,180,5,6.7683109894584632
1,180,6,6.4198589659832592
1,180,7,17.343039835625433
1,180,8,9.0871891108445713
1,180,9,13.453142265812286
1,180,10,7.7941972839971241
1,180,11,11.782162897300712
1,180,12,7.5020629286275016
1,180,13,9.6961338769863499
1,180,14,5.1334874694764041
1,180,15,8.6172237753392409
1,180,16,8.0041987768442979
1,180,17,6.7527969524436671
1,180,18,7.3727163027569977
1,180,19,12.704643386489572
1,180,20,11.838984932951728
1,199,1,595.88504747433285
1,199,2,108.83905364451749
1,199,3,1315.7289953137697
1,199,4,27.693701969517168
1,199,5,47.769585539654699
1,199,6,80.431873209470595
1,199,7,34.9068559994368
1,199,8,146.65193647873576
1,199,9,56.390095670480747
1,199,10,2412.3085453251397
1,199,11,57.678030650266571
1,199,12,33.936235513518227
1,199,13,50.69176824701259
1,199,14,82.054737673326315
1,199,15,43.416310062101743
1,199,16,1093.9569147522486
1,199,17,540.5042511323187
1,199,18,313.40344893569255
1,199,19,110.35280731559132
1,199,20,45.815792777040038
1,200,1,80282.691170100094
1,200,2,861.40985288868194
1,200,3,104.1320747179338
1,200,4,102.11931592184366
1,200,5,2542.4465170183562
1,200,6,1847.2124170163613
1,200,7,191.7985001132601
1,200,8,111.4545429938216
1,200,9,3101.434303874526
1,200,10,11.554340250246629
1,200,11,2092.9993953649873
1,200,12,3393.7809170735218
1,200,13,158.19359358165298
1,200,14,38.194966548743061
1,200,15,1359.7290634691026
1,200,16,14605.15403534174
1,200,17,61.266962462321963
1,200,18,704.44852336011218
1,200,19,102.75793592885486
1,200,20,48.472363148871345
1,220,1,10.820255679739352
1,220,2,25.278163524896542
1,220,3,11.863995061927966
1,220,4,7.2212703059952803
1,220,5,12.610718868784259
1,220,6,13.080791427768713
1,220,7,12.477437621345045
1,220,8,10.255161298069593
1,220,9,8.2835191479042436
1,220,10,9.5828265539762469
1,220,11,8.8301951596900441
1,220,12,8.1517631438091396
1,220,13,8.7103189990055938
1,220,14,13.69811349027851
1,220,15,9.712003243856751
1,220,16,8.0487269379440392
1,220,17,8.6083705780675821
1,220,18,14.874595875496864
1,220,19,6.63957964134348
1,220,20,9.1848046843271884
1,240,1,6.7204421528697313
1,240,2,5.2026909294282131
1,240,3,5.360974134439128
1,240,4,4.0540808511371171
1,240,5,8.480420794595398
1,240,6,3.822490529803932
1,240,7,5.413561759900551
1,240,8,4.3275642444247788
