replication,T,method,lower,upper,covers,length
16,5000,PI,-0.51260691727305496,-0.39118097376671446,1,0.12142594350634051
16,5000,Boot,-0.51054326228038716,-0.38927985093688278,1,0.12126341134350438
16,5000,RS,-0.53119012760221929,-0.37259776343755008,1,0.15859236416466921
16,10000,PI,-0.48694086938380332,-0.40294407804028354,1,0.083996791343519783
16,10000,Boot,-0.48102166140734937,-0.39932633476622459,1,0.081695326641124777
16,10000,RS,-0.48349842481951993,-0.40638652260456692,1,0.07711190221495301
17,500,PI,-0.64306373270124473,-0.19124387895215703,1,0.45181985374908773
17,500,Boot,-0.64039691602867732,-0.19788208852896552,1,0.44251482749971183
17,500,RS,-0.58615900735509452,-0.24814860429830723,1,0.33801040305678731
17,1000,PI,-0.55167450889092096,-0.27072229330494207,1,0.28095221558597888
17,1000,Boot,-0.52081572022424538,-0.25838217262390428,1,0.2624335476003411
17,1000,RS,-0.46198747289505776,-0.36040932930080533,1,0.10157814359425243
17,2000,PI,-0.5364329067335265,-0.34592753583506575,1,0.19050537089846076
17,2000,Boot,-0.52640194636991589,-0.32518194274779932,1,0.20122000362211656
17,2000,RS,-0.51594395601468501,-0.36641648655390724,1,0.14952746946077777
17,5000,PI,-0.47823317738786675,-0.3609690003211804,1,0.11726417706668635
17,5000,Boot,-0.46563323510592092,-0.34643294340224789,1,0.11920029170367302
17,5000,RS,-0.47629203852308982,-0.36291013918595733,1,0.1133818993371325
17,10000,PI,-0.48173623184142644,-0.3990966120205639,1,0.082639619820862542
17,10000,Boot,-0.47660890324238298,-0.39471861932088093,1,0.081890283921502049
17,10000,RS,-0.49007992803498401,-0.39075291582700633,1,0.099327012207977683
18,500,PI,-0.69833685206156693,-0.22710772995331005,1,0.47122912210825685
18,500,Boot,-0.69415921196953367,-0.21920125352855252,1,0.47495795844098115
18,500,RS,-0.55296950906522502,-0.37247507294965193,1,0.18049443611557309
18,1000,PI,-0.63175000997708797,-0.31900053363271608,1,0.31274947634437189
18,1000,Boot,-0.61641836264045202,-0.30869900485957491,1,0.30771935778087711
18,1000,RS,-0.54445199459098237,-0.40629854901882173,1,0.13815344557216064
18,2000,PI,-0.52615686315798804,-0.3279328976949093,1,0.19822396546307874
18,2000,Boot,-0.50700710222546364,-0.31824674535556052,1,0.18876035686990311
18,2000,RS,-0.52028507473926044,-0.33380468611363689,1,0.18648038862562355
18,5000,PI,-0.54097673766577337,-0.41889195028218956,1,0.1220847873835838
18,5000,Boot,-0.53586228503021605,-0.41520936938693359,1,0.12065291564328245
18,5000,RS,-0.56654752808570275,-0.39332115986226024,1,0.17322636822344251
18,10000,PI,-0.490157326421435,-0.40616109735497613,1,0.083996229066458872
18,10000,Boot,-0.48425855782849797,-0.40335952176604439,1,0.080899036062453578
18,10000,RS,-0.51840916793314906,-0.37790925584326202,1,0.14049991208988705
19,500,PI,-0.47660762784374622,0.0010406072369848751,1,0.47764823508073107
19,500,Boot,-0.46055405853397124,0.030791336464889907,1,0.49134539499886115
19,500,RS,-0.3278657678016893,-0.14770125280507207,0,0.18016451499661723
19,1000,PI,-0.48575323949477112,-0.19215724826810332,1,0.2935959912266678
19,1000,Boot,-0.49440423087122343,-0.18130654700311175,1,0.31309768386811165
19,1000,RS,-0.5608002975247125,-0.11711019023816197,1,0.44369010728655056
19,2000,PI,-0.48440637672627396,-0.29088985764119246,1,0.1935165190850815
19,2000,Boot,-0.49362138867100636,-0.27688313269942472,1,0.21673825597158164
19,2000,RS,-0.53314280941215064,-0.24215342495531578,1,0.29098938445683487
19,5000,PI,-0.4517208563045943,-0.33284500614294404,1,0.11887585016165025
19,5000,Boot,-0.4536582361714932,-0.33047451837991237,1,0.12318371779158083
19,5000,RS,-0.48541387330266794,-0.2991519891448704,1,0.18626188415779754
19,10000,PI,-0.45041327275109849,-0.36763398765994443,1,0.082779285091154065
19,10000,Boot,-0.4553657556985139,-0.36664121828119345,1,0.088724537417320448
19,10000,RS,-0.4629866992646437,-0.35506056114639922,1,0.10792613811824447
20,500,PI,-0.51083842294910209,-0.10655653437483872,1,0.40428188857426339
20,500,Boot,-0.53045755688758311,-0.11800362141312085,1,0.4124539354744623
20,500,RS,-0.35979114761812381,-0.25760380970581698,0,0.10218733791230683
20,1000,PI,-0.52083280207205174,-0.24629599596166649,1,0.27453680611038522
20,1000,Boot,-0.51101947814940107,-0.23844458725521633,1,0.27257489089418474
20,1000,RS,-0.52717613013169007,-0.23995266790202815,1,0.28722346222966189
20,2000,PI,-0.53451939426507666,-0.34450102375714986,1,0.1900183705079268
20,2000,Boot,-0.52011526464367819,-0.31846410367979716,1,0.20165116096388103
20,2000,RS,-0.58992997732313168,-0.28909044069909484,1,0.30083953662403684
20,5000,PI,-0.517452728447934,-0.39941620775874559,1,0.11803652068918841
20,5000,Boot,-0.52199702554282934,-0.38647685806269738,1,0.13552016748013196
20,5000,RS,-0.53316879993973998,-0.38370013626693966,1,0.14946866367280032
20,10000,PI,-0.48829416153453215,-0.40561506574898282,1,0.082679095785549328
20,10000,Boot,-0.48643491730535593,-0.40328393687923925,1,0.083150980426116683
20,10000,RS,-0.49670456604165514,-0.39720466124185982,1,0.099499904799795313
21,500,PI,-0.65878772925743867,-0.21264625063106807,1,0.4461414786263706
21,500,Boot,-0.6169436816797198,-0.18789958406506538,1,0.42904409761465445
21,500,RS,-0.4978150473283382,-0.37361893256016859,1,0.12419611476816961
21,1000,PI,-0.63471380334417582,-0.36591909481242169,1,0.26879470853175413
21,1000,Boot,-0.62380525551089172,-0.33923821878757221,1,0.28456703672331951
21,1000,RS,-0.64145985265278016,-0.35917304550381735,1,0.28228680714896282
21,2000,PI,-0.60363049529989299,-0.40909546183839596,1,0.19453503346149703
21,2000,Boot,-0.6085868308752409,-0.39425093884161316,1,0.21433589203362774
21,2000,RS,-0.5882961454980411,-0.42442981164024784,1,0.16386633385779326
21,5000,PI,-0.54792937681738618,-0.42865459461269168,1,0.11927478220469451
21,5000,Boot,-0.53839484672235272,-0.4254411396204969,1,0.11295370710185582
21,5000,RS,-0.53350299609972474,-0.44308097533035318,1,0.090422020769371558
21,10000,PI,-0.51186741134544134,-0.42859018314657354,1,0.083277228198867792
21,10000,Boot,-0.50400200815346252,-0.42444944949034741,1,0.079552558663115114
21,10000,RS,-0.51287148104908953,-0.4275861134429253,1,0.085285367606164231
22,500,PI,-0.80522865735246196,-0.39121926613913505,1,0.41400939121332692
22,500,Boot,-0.76897255848307688,-0.40948372678839834,1,0.35948883169467855
22,500,RS,-0.85148617533249293,-0.34496174815910413,1,0.50652442717338886
22,1000,PI,-0.66411852216955769,-0.37849970707725256,1,0.28561881509230513
22,1000,Boot,-0.63292628354380276,-0.38219739764341765,1,0.25072888590038511
22,1000,RS,-0.6568271863688806,-0.3857910428779297,1,0.2710361434909509
22,2000,PI,-0.52255148040657806,-0.33039088436601188,1,0.19216059604056618
22,2000,Boot,-0.49680453002650643,-0.32593197093281712,1,0.17087255909368931
22,2000,RS,-0.59400047725560656,-0.25894188751698333,1,0.33505858973862324
22,5000,PI,-0.50415655830490835,-0.38225906951213678,1,0.12189748879277157
22,5000,Boot,-0.49813492641999418,-0.37660706985256032,1,0.12152785656743387
22,5000,RS,-0.48668186663596325,-0.39973376118108195,1,0.086948105454881297
22,10000,PI,-0.48979212034858133,-0.40525808197700031,1,0.084534038371581022
22,10000,Boot,-0.4885790952585588,-0.40282621543730973,1,0.085752879821249073
22,10000,RS,-0.47947141083216627,-0.41557879149341537,1,0.0638926193387509
23,500,PI,-0.6016093609026405,-0.1069127646759486,1,0.49469659622669193
23,500,Boot,-0.57461705354026116,-0.091488384481080098,1,0.48312866905918106
